gene,environment,solution,haploinsufficiency,flux
YAL012W,glc,suboptimal,0.017396,999.985
YGR155W,glc,suboptimal,0.019845,0.0
YNR057C,glc,suboptimal,-0.035036,0.0
YNR043W,glc,suboptimal,-0.038795,0.00396
YJR057W,glc,suboptimal,-0.02899,0.0
YLR372W,glc,suboptimal,0.051725,0.0
YJR051W,glc,suboptimal,-0.040295,0.0
YDL022W,glc,suboptimal,0.025978,0.0
YBR020W,glc,suboptimal,-0.011287,0.0
YBR263W,glc,suboptimal,0.036199,997.508
YDR300C,glc,suboptimal,-0.083667,0.01917
YMR250W,glc,suboptimal,-0.000864,0.0
YDL215C,glc,suboptimal,-0.048022,0.0
YHL032C,glc,suboptimal,0.018826,0.0
YLR299W,glc,suboptimal,0.032588,0.0
YGR267C,glc,suboptimal,0.026401,1.13687e-13
YDL205C,glc,suboptimal,0.019007,0.0
YNL277W,glc,suboptimal,0.016517,0.0
YPL040C,glc,suboptimal,0.028787,0.0
YBL098W,glc,suboptimal,0.01368,0.0
YPR006C,glc,suboptimal,-0.01557,0.0
YOL126C,glc,suboptimal,-0.017959,-0.45858
YHR046C,glc,suboptimal,0.019372,0.00159
YCR012W,glc,suboptimal,-0.011305,-4.70873
YPL268W,glc,suboptimal,0.018199,0.0
YER053C,glc,suboptimal,0.01863,-983.359
YMR220W,glc,suboptimal,0.015913,0.00396
YCR028C,glc,suboptimal,-0.062896,0.0
YIL020C,glc,suboptimal,-0.018295,0.01989
YNL169C,glc,suboptimal,0.012446,0.00315
YOL143C,glc,suboptimal,0.014662,0.0
YGR175C,glc,suboptimal,0.014398,0.00066
YIL162W,glc,suboptimal,-0.022648,0.0
YEL046C,glc,suboptimal,0.020257,0.13044
YDR050C,glc,suboptimal,-0.022823,2.38785
YPR026W,glc,suboptimal,-0.038541,0.0
YDR047W,glc,suboptimal,0.02076,0.0
YBR021W,glc,suboptimal,-0.070071,0.0
