gene,environment,solution,constraint,essential
YGR171C,sul,suboptimal,zero flux,viable
YHR046C,sul,suboptimal,constrained,viable
YJL153C,sul,suboptimal,constrained,viable
YLL061W,sul,suboptimal,zero flux,viable
YBR176W,sul,suboptimal,zero flux,viable
YKR080W,sul,suboptimal,zero flux,viable
YGL067W,sul,suboptimal,zero flux,viable
YLR138W,sul,suboptimal,zero flux,viable
YEL042W,sul,suboptimal,zero flux,viable
YGR010W,sul,suboptimal,zero flux,viable
YKL120W,sul,suboptimal,variable,viable
YJL088W,sul,suboptimal,constrained,viable
YPL266W,sul,suboptimal,zero flux,inviable
YML110C,sul,suboptimal,zero flux,viable
YDR538W,sul,suboptimal,zero flux,viable
YKL184W,sul,suboptimal,zero flux,viable
YLR438W,sul,suboptimal,variable,viable
YOR130C,sul,suboptimal,variable,viable
YIL145C,sul,suboptimal,zero flux,viable
YPR167C,sul,suboptimal,constrained,viable
YKR093W,sul,suboptimal,zero flux,viable
YGR007W,sul,suboptimal,zero flux,viable
YGR157W,sul,suboptimal,constrained,viable
YCR012W,sul,suboptimal,at maximum,inviable
YPR047W,sul,suboptimal,zero flux,viable
YPL268W,sul,suboptimal,zero flux,viable
YPR113W,sul,suboptimal,constrained,inviable
YJR077C,sul,suboptimal,variable,viable
YER053C,sul,suboptimal,variable,viable
YFL045C,sul,suboptimal,constrained,inviable
YMR220W,sul,suboptimal,constrained,inviable
YDR531W,sul,suboptimal,zero flux,inviable
YCR028C,sul,suboptimal,zero flux,viable
YBR011C,sul,suboptimal,constrained,inviable
YMR267W,sul,suboptimal,zero flux,viable
YGL040C,sul,suboptimal,zero flux,inviable
YKR097W,sul,suboptimal,zero flux,viable
YBR166C,sul,suboptimal,variable,viable
YNL316C,sul,suboptimal,constrained,viable
YER014W,sul,suboptimal,zero flux,viable
YDR007W,sul,suboptimal,constrained,viable
YAR015W,sul,suboptimal,constrained,viable
YGR061C,sul,suboptimal,constrained,viable
YIL020C,sul,suboptimal,constrained,viable
YLR142W,sul,suboptimal,zero flux,viable
YNL169C,sul,suboptimal,variable,viable
YGR208W,sul,suboptimal,variable,viable
YOL143C,sul,suboptimal,zero flux,viable
YBR256C,sul,suboptimal,zero flux,inviable
YJL121C,sul,suboptimal,variable,viable
YOR095C,sul,suboptimal,constrained,inviable
YNR050C,sul,suboptimal,constrained,viable
YIR034C,sul,suboptimal,constrained,viable
YJR010W,sul,suboptimal,zero flux,viable
YML008C,sul,suboptimal,zero flux,viable
YJL068C,sul,suboptimal,zero flux,viable
YML082W,sul,suboptimal,at maximum,viable
YPR069C,sul,suboptimal,zero flux,viable
YLR146C,sul,suboptimal,zero flux,viable
YGR175C,sul,suboptimal,constrained,inviable
YHR190W,sul,suboptimal,constrained,inviable
YIL162W,sul,suboptimal,zero flux,viable
YEL046C,sul,suboptimal,variable,viable
YER086W,sul,suboptimal,constrained,viable
YIL078W,sul,suboptimal,zero flux,inviable
YKL194C,sul,suboptimal,zero flux,viable
YOR074C,sul,suboptimal,constrained,inviable
YDR050C,sul,suboptimal,variable,inviable
YDR353W,sul,suboptimal,constrained,inviable
YHR106W,sul,suboptimal,zero flux,viable
YPR026W,sul,suboptimal,zero flux,viable
YJR078W,sul,suboptimal,zero flux,viable
YGL026C,sul,suboptimal,constrained,viable
YOL097C,sul,suboptimal,zero flux,inviable
YDR268W,sul,suboptimal,zero flux,viable
YGR185C,sul,suboptimal,zero flux,inviable
YPL097W,sul,suboptimal,zero flux,viable
YDL103C,sul,suboptimal,zero flux,inviable
YBR019C,sul,suboptimal,zero flux,viable
YIR032C,sul,suboptimal,zero flux,viable
YKR069W,sul,suboptimal,zero flux,viable
YOR278W,sul,suboptimal,zero flux,inviable
YDR047W,sul,suboptimal,zero flux,inviable
YBR021W,sul,suboptimal,zero flux,viable
YHL016C,sul,suboptimal,zero flux,viable
YBL042C,sul,suboptimal,zero flux,viable
YJR133W,sul,suboptimal,zero flux,viable
YGR194C,sul,suboptimal,zero flux,viable
YLR070C,sul,suboptimal,zero flux,viable
