gene,environment,solution,sensitivity,essential
YOL126C,sul,suboptimal,-5.07892e-14,viable
YKL085W,sul,suboptimal,2.81737e-08,viable
YKL120W,sul,suboptimal,-1.1576e-12,viable
YLR438W,sul,suboptimal,1.06257e-07,viable
YOR130C,sul,suboptimal,-8.22623e-13,viable
YCR012W,sul,suboptimal,1.49633e-13,inviable
YJR077C,sul,suboptimal,-0.00018918,viable
YBR166C,sul,suboptimal,2.80599e-10,viable
YLR142W,sul,suboptimal,7.97119e-08,viable
YNL169C,sul,suboptimal,-0.00476192,viable
YGR208W,sul,suboptimal,3.48201e-08,viable
YJL121C,sul,suboptimal,-7.97098e-08,viable
YOR095C,sul,suboptimal,1.58758e-07,inviable
YDR050C,sul,suboptimal,2.55958e-14,inviable
